type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
6,2022-06-30 12:35:45+0000,877,2.183406114578247,0.4395604133605957,1180.0,0.7415254237288136,114.9846038818359
1,2022-06-30 12:31:18+0000,239,0.6544502377510071,0.1648261100053787,1001.0,0.2367632367632368,36.82282638549805
6,2022-06-30 12:01:46+0000,1395,5.208333492279053,0.5512679219245911,1680.0,0.8279761904761904,170.7522277832031
6,2022-06-29 12:09:37+0000,1423,2.7173912525177,0.331895112991333,2003.0,0.709435846230654,168.7037811279297
1,2022-06-29 12:02:34+0000,231,0.5452562570571899,0.1936483383178711,1003.0,0.2283150548354935,33.62038803100586
6,2022-06-29 11:38:07+0000,1111,0.8271298408508301,0.1290655583143234,1882.0,0.5892667375132837,119.7217636108398
6,2022-06-28 11:11:56+0000,1943,2.881844282150269,0.5382131338119507,2416.0,0.8029801324503312,218.6030578613281
1,2022-06-28 11:07:21+0000,235,0.4755111932754517,0.1835872977972031,1003.0,0.2323030907278165,39.64669418334961
6,2022-06-28 10:35:28+0000,1277,1.76678454875946,0.5777007937431335,1708.0,0.7464871194379391,129.0
6,2022-06-27 11:50:22+0000,1256,2.066115617752075,0.1546072959899902,1976.0,0.6351214574898786,177.3815155029297
1,2022-06-27 11:45:38+0000,239,0.624609649181366,0.1815211474895477,1002.0,0.2365269461077844,48.67057800292969
6,2022-06-27 11:21:16+0000,1132,2.202643156051636,0.4340277910232544,1826.0,0.6193866374589266,136.8016662597656
6,2022-06-25 00:37:56+0000,6479,4.566210269927979,0.1822821646928787,9649.0,0.6707430821846824,885.1824951171875
6,2022-06-25 00:16:44+0000,840,1.440922141075134,0.2174385786056519,1716.0,0.4889277389277389,118.9355239868164
6,2022-06-23 11:22:16+0000,1556,5.4347825050354,0.3014772534370422,2583.0,0.6016260162601627,183.2168121337891
1,2022-06-23 11:16:47+0000,245,0.6269592642784119,0.1883239150047302,1003.0,0.2422731804586241,49.75709533691406
6,2022-06-23 10:55:14+0000,1053,1.949317693710327,0.4750593900680542,1714.0,0.6131855309218203,163.6604766845703
6,2022-06-21 12:28:12+0000,1608,2.695417881011963,0.4286326766014099,2292.0,0.6985165794066318,250.9680480957031
1,2022-06-21 12:23:33+0000,247,0.5321980118751526,0.1881467550992966,1009.0,0.242814667988107,45.0
6,2022-06-21 12:01:40+0000,1059,4.048583030700684,0.4025765061378479,1782.0,0.5931537598204265,143.0
6,2022-06-18 01:04:07+0000,6150,2.873563289642334,0.2464875429868698,8395.0,0.732459797498511,774.0
6,2022-06-18 00:35:48+0000,1277,2.5252525806427,0.1957713514566422,2295.0,0.5555555555555556,192.9684143066406
6,2022-06-17 11:08:18+0000,2352,8.849557876586914,0.1886080652475357,3058.0,0.7674950948332243,259.9014282226562
1,2022-06-17 11:03:58+0000,243,0.4712535440921783,0.1802451312541962,1002.0,0.2405189620758483,48.66097259521484
1,2022-06-17 10:57:44+0000,30,0.5790387988090515,0.2126754522323608,125.0,0.232,4.012659549713135
6,2022-06-17 10:28:16+0000,1501,5.319149017333984,0.396668016910553,1933.0,0.7754785307811691,155.2282562255859
6,2022-06-16 11:07:53+0000,2215,5.076142311096191,0.1824817508459091,3070.0,0.7205211726384365,307.959228515625
1,2022-06-16 11:03:28+0000,243,0.5763688683509827,0.1971220225095749,1002.0,0.2405189620758483,33.65047073364258
1,2022-06-16 10:56:49+0000,68,0.7745933532714844,0.2085070908069611,293.0,0.2286689419795222,8.063364028930664
6,2022-06-16 10:25:38+0000,1463,2.506265640258789,0.5503576993942261,1833.0,0.7970540098199672,146.2836761474609
6,2022-06-15 12:47:55+0000,1864,1.369863033294678,0.3166561126708984,3003.0,0.6203796203796204,232.0163726806641
6,2022-06-15 11:52:54+0000,1171,2.994012117385864,0.2044989764690399,2005.0,0.5830423940149626,169.3257904052734
1,2022-06-15 11:46:25+0000,249,0.5219206809997559,0.1885369569063187,1011.0,0.2443125618199802,47.91866683959961
6,2022-06-15 11:22:42+0000,1147,1.27226459980011,0.4436557292938232,1813.0,0.631549917264203,124.5349044799805
6,2022-06-14 13:59:42+0000,2343,2.314814805984497,0.2092050164937973,3877.0,0.6038173845757029,318.0751037597656
6,2022-06-14 12:08:07+0000,1917,2.386634826660156,0.2430724501609802,3143.0,0.6092904867960547,291.0
1,2022-06-14 12:03:23+0000,259,0.5627462267875671,0.1934984475374222,1003.0,0.2562313060817548,56.05161285400391
6,2022-06-14 11:42:50+0000,1036,3.773585081100464,0.4906771183013916,1750.0,0.5914285714285714,103.7179718017578
6,2022-06-12 10:52:17+0000,1573,2.638522386550903,0.5714285969734192,2050.0,0.7663414634146342,162.0105285644531
1,2022-06-12 10:47:29+0000,251,0.6472492218017578,0.2004811614751816,1006.0,0.2475149105367793,51.78847885131836
6,2022-06-12 10:18:38+0000,1492,1.406469702720642,0.2221235036849976,1910.0,0.7806282722513089,140.2628631591797
24,2022-06-12 10:05:59+0000,684,0.0,1.800000071525574,0.0,0.0,45.0
6,2022-06-11 10:42:47+0000,2351,6.896552085876465,0.2228164076805115,3000.0,0.7816666666666666,239.0
1,2022-06-11 10:38:27+0000,237,0.5175983309745789,0.1971220225095749,1001.0,0.2347652347652348,30.81564140319824
6,2022-06-11 10:11:35+0000,1359,2.92397665977478,0.1575795710086823,1812.0,0.7488962472406181,147.4778442382812
6,2022-06-04 11:44:32+0000,1196,1.70648455619812,0.4081632494926453,1860.0,0.6424731182795699,167.9302215576172
1,2022-06-04 11:38:21+0000,245,0.5980861186981201,0.2102165222167969,1001.0,0.2427572427572428,51.81399536132812
6,2022-06-04 11:17:13+0000,1074,2.232142686843872,0.275862067937851,1880.0,0.5707446808510638,133.3164367675781
6,2022-06-03 11:08:45+0000,2892,2.695417881011963,0.5015045404434204,3089.0,0.935901586273875,221.0260925292969
1,2022-06-03 11:03:24+0000,251,0.8257638812065125,0.162680983543396,1003.0,0.2482552342971087,45.20206069946289
6,2022-06-03 10:41:37+0000,1265,2.949852705001831,0.4784689247608185,2011.0,0.6280457483838886,164.7203521728516
6,2022-05-31 11:47:54+0000,1632,2.994012117385864,0.3095017075538635,2637.0,0.6177474402730375,166.5786285400391
1,2022-05-31 11:42:33+0000,261,0.5512679219245911,0.202963262796402,1006.0,0.257455268389662,49.91259765625
6,2022-05-31 10:30:18+0000,2313,3.460207462310791,0.3858024775981903,3641.0,0.6322438890414721,278.7836608886719
6,2022-05-30 12:00:54+0000,2689,2.48138952255249,0.1946661472320557,2829.0,0.9494521032166844,212.1686248779297
1,2022-05-30 11:55:16+0000,253,0.4058441519737244,0.1745810061693192,1004.0,0.25,48.91750335693359
6,2022-05-30 11:24:52+0000,1157,1.156069397926331,0.101657010614872,1916.0,0.6028183716075156,149.0387573242188
6,2022-05-29 11:23:43+0000,1582,3.558718919754028,0.1998001933097839,2310.0,0.6835497835497836,213.0
1,2022-05-29 11:19:12+0000,253,0.4273504316806793,0.1838573217391968,1000.0,0.251,41.0
6,2022-05-29 10:53:31+0000,1243,1.926782250404358,0.1600255966186523,1822.0,0.681119648737651,144.0
6,2022-05-28 10:44:18+0000,2245,2.832861423492432,0.4133939743041992,3029.0,0.7405084186200066,263.716064453125
1,2022-05-28 10:39:29+0000,271,0.6451613306999207,0.2223704606294632,1005.0,0.2676616915422886,51.32574844360352
6,2022-05-28 10:11:27+0000,1378,2.272727251052856,0.2534211874008179,1841.0,0.7479630635524172,151.9722747802734
6,2022-05-27 11:40:34+0000,1400,2.518891572952271,0.4210526347160339,2002.0,0.6973026973026973,187.4754028320312
1,2022-05-27 11:35:19+0000,277,0.7570022940635681,0.244857981801033,1003.0,0.2741774675972084,43.04091644287109
6,2022-05-27 11:08:44+0000,1218,2.415458917617798,0.4106776416301727,1800.0,0.6761111111111111,133.8008270263672
6,2022-05-26 10:25:20+0000,1624,3.076923131942749,0.2377555966377258,2623.0,0.6153259626382005,194.8567352294922
1,2022-05-26 10:17:38+0000,265,0.558035671710968,0.1968116611242294,1003.0,0.2622133599202393,53.11600494384766
6,2022-05-26 09:52:18+0000,1150,1.122334480285645,0.1505797356367111,1841.0,0.6241173275393808,152.1444702148438
6,2022-05-25 11:06:13+0000,1252,2.079002141952515,0.3502627015113831,2058.0,0.6059280855199223,155.2057342529297
1,2022-05-25 10:56:04+0000,241,0.9066182971000671,0.1196601614356041,1003.0,0.2352941176470588,40.80502319335938
6,2022-05-25 10:32:55+0000,1056,1.65016496181488,0.4816955626010895,1833.0,0.5755591925804692,127.3478546142578
6,2022-05-24 11:58:48+0000,1278,2.145922899246216,0.4144218564033508,1908.0,0.6692872117400419,200.5732574462891
1,2022-05-24 11:54:01+0000,267,0.9250693917274475,0.2227171659469604,1001.0,0.2647352647352647,44.14627456665039
6,2022-05-24 11:32:03+0000,1094,1.633986949920654,0.2977076470851898,2030.0,0.538423645320197,166.6173553466797
6,2022-05-23 11:51:41+0000,880,2.427184581756592,0.4914004802703857,1135.0,0.7709251101321586,118.5256881713867
1,2022-05-23 11:46:59+0000,267,0.6680026650428772,0.2187226563692093,1000.0,0.265,50.33335494995117
6,2022-05-23 11:15:57+0000,1428,5.714285850524902,0.4226542711257935,1863.0,0.7659688674181427,142.7826843261719
6,2022-05-22 10:29:03+0000,893,5.464480876922607,0.3152585327625275,1221.0,0.7256347256347256,133.1079864501953
1,2022-05-22 10:22:47+0000,267,0.8149959444999695,0.2136295586824417,1000.0,0.265,44.07970809936523
6,2022-05-22 09:58:12+0000,1136,3.448276042938232,0.2193944603204727,1821.0,0.6227347611202636,138.7963104248047
6,2022-05-21 13:54:16+0000,1283,2.314814805984497,0.5213764309883118,1870.0,0.6850267379679145,197.3519592285156
1,2022-05-21 13:48:24+0000,287,0.6218905448913574,0.2231644690036774,1003.0,0.2841475573280159,50.02945709228516
6,2022-05-21 13:29:18+0000,1051,1.122334480285645,0.1707650274038315,1819.0,0.576690489279824,154.5342407226562
6,2022-05-20 13:12:43+0000,1060,4.219408988952637,0.3460207581520081,1287.0,0.8228438228438228,108.33837890625
6,2022-05-17 11:26:46+0000,2170,7.299270153045654,0.1477759629487991,3000.0,0.7206666666666667,163.8920593261719
1,2022-05-17 11:15:00+0000,308,237.0,0.2226913869380951,1049.0,0.293,63.0
6,2022-05-17 10:49:16+0000,1156,1.388888835906982,0.3844675123691559,1675.0,0.6895522388059702,105.1035003662109
6,2022-05-16 11:39:26+0000,1581,2.057613134384155,0.2154243737459183,2351.0,0.6703530412590387,249.4513244628906
1,2022-05-16 11:31:34+0000,302,210.0,0.2105640918016434,1046.0,0.288,63.0
6,2022-05-16 11:09:07+0000,1104,0.9216589331626892,0.2912904024124146,2006.0,0.5498504486540379,122.274787902832
6,2022-05-15 11:43:52+0000,2072,4.950494766235352,0.2968239784240723,3012.0,0.6869189907038512,231.4942779541016
1,2022-05-15 11:36:24+0000,281,197.0,0.1974299401044846,1028.0,0.273,51.0
6,2022-05-15 11:10:08+0000,1156,1.53609824180603,0.2765486836433411,1773.0,0.6503102086858432,147.3135223388672
6,2022-05-14 10:14:43+0000,2418,3.861003875732422,0.5030180811882019,3147.0,0.7680330276489258,255.0
6,2022-05-13 11:42:31+0000,1766,4.545454502105713,0.1601537466049194,3011.0,0.5855197906494141,184.0
1,2022-05-13 11:36:23+0000,291,201.0,0.201460987329483,1024.0,0.2829999923706055,55.0
6,2022-05-13 11:09:15+0000,1183,2.092050313949585,0.2876870036125183,2000.0,0.5910000205039978,114.0
6,2022-05-12 11:48:38+0000,780,3.831417560577393,0.2333722412586212,1095.0,0.7095890641212463,81.0
1,2022-05-12 11:36:50+0000,281,178.0,0.1781033575534821,1007.0,0.2779999971389771,59.0
6,2022-05-12 11:11:23+0000,1173,3.558718919754028,0.2806623578071594,1782.0,0.6576879620552063,127.0
6,2022-05-08 11:29:45+0000,1409,3.04878044128418,0.3984063863754272,2205.0,0.6376417279243469,169.0
1,2022-05-08 11:24:19+0000,287,225.0,0.2221389412879944,1026.0,0.2790000140666962,56.0
6,2022-05-08 11:04:02+0000,1044,2.463054180145264,0.1107665076851845,1826.0,0.5711938738822937,134.0
1,2022-05-07 09:47:30+0000,290,212.0,0.2128721326589584,1040.0,0.2779999971389771,52.0
6,2022-05-07 09:19:24+0000,1359,3.533569097518921,0.4610419869422913,2002.0,0.6778221726417542,148.0
6,2022-05-06 10:22:05+0000,689,2.702702760696411,0.2443792819976807,1066.0,0.6454033851623535,90.0
1,2022-05-06 10:16:48+0000,273,0.7022472023963928,0.2275830656290054,1003.0,0.2711864411830902,47.0
6,2022-05-06 09:51:26+0000,1208,3.496503353118896,0.2921413779258728,2000.0,0.6025000214576721,116.0
6,2022-05-05 11:20:47+0000,1924,3.676470279693604,0.2977963089942932,2410.0,0.7979252934455872,211.0
1,2022-05-05 11:15:38+0000,292,0.7042253613471985,0.2160293757915497,1000.0,0.2910000085830688,52.0
6,2022-05-05 10:49:44+0000,1494,1.811594247817993,0.4248088300228119,1920.0,0.7776041626930237,131.0
1,2022-05-04 11:52:29+0000,279,0.6134969592094421,0.2111932337284088,1007.0,0.2760675251483917,42.0
6,2022-05-04 11:29:10+0000,1123,2.915452003479004,0.4793863892555237,1762.0,0.6367763876914978,129.0
6,2022-05-02 08:04:38+0000,3581,6.849315166473389,0.3869968950748444,5105.0,0.7012732625007629,385.0
6,2022-05-01 11:21:31+0000,1352,2.227171421051025,0.3937007784843445,1985.0,0.6801007390022278,146.0
6,2022-05-01 10:01:23+0000,2045,6.097560882568359,0.3216468393802643,2158.0,0.9462465047836304,229.0
1,2022-05-01 09:48:50+0000,283,0.8223684430122375,0.2239140123128891,1006.0,0.2803180813789368,41.0
6,2022-05-01 09:26:27+0000,1108,2.941176414489746,0.2675943374633789,1741.0,0.6358414888381958,138.0
1,2022-04-29 11:01:29+0000,495,1.216544985771179,0.2072968482971191,1651.0,0.2973955273628235,89.0
6,2022-04-29 10:33:43+0000,1511,4.901960849761963,0.1507613509893417,2062.0,0.730358898639679,133.0
1,2022-04-28 10:37:51+0000,279,0.8051530122756958,0.2209944725036621,1002.0,0.2774451076984406,50.0
6,2022-04-28 10:14:07+0000,1183,2.985074520111084,0.1515151560306549,1934.0,0.6111685633659363,129.0
1,2022-04-27 11:31:56+0000,270,0.680272102355957,0.2187226563692093,1002.0,0.2684630751609802,48.0
6,2022-04-27 11:12:42+0000,1051,2.590673446655273,0.3828483819961548,1772.0,0.5925508141517639,152.0
1,2022-04-26 11:40:21+0000,354,1.114827156066895,0.1996805220842361,1201.0,0.2939217388629913,62.0
6,2022-04-26 11:22:55+0000,950,3.984063863754272,0.445037841796875,1424.0,0.6664325594902039,103.0
6,2022-04-15 09:59:51+0000,616,1.724138021469116,0.3447087109088898,1099.0,0.5595996379852295,84.0
1,2022-04-15 09:54:21+0000,278,0.7968127727508545,0.244021475315094,1005.0,0.2756218910217285,39.0
6,2022-04-15 09:29:11+0000,1160,1.956947207450867,0.2300437092781067,1977.0,0.5862417817115784,130.0
6,2022-04-13 10:58:07+0000,3168,9.00900936126709,0.04696379229426384,5188.0,0.6104471683502197,285.0
1,2022-04-13 10:48:11+0000,278,0.7633588314056396,0.2037905007600784,1000.0,0.2770000100135803,44.0
6,2022-04-13 10:24:05+0000,1109,2.808988809585571,0.4462293684482574,1702.0,0.6509988307952881,135.0
6,2022-04-10 11:46:58+0000,592,1.642036080360413,0.194476842880249,982.0,0.6008146405220032,39.0
1,2022-04-10 11:41:58+0000,277,0.6872851848602295,0.2137208878993988,1006.0,0.2743538916110992,45.0
6,2022-04-10 11:21:30+0000,1016,3.717472314834595,0.3846153914928436,1701.0,0.596707820892334,118.0
6,2022-04-08 11:44:35+0000,1604,3.937007665634155,0.160720020532608,2005.0,0.7995012402534485,77.0
1,2022-04-08 11:39:28+0000,274,0.6706907749176025,0.2314814776182175,1000.0,0.2730000019073486,51.0
6,2022-04-08 11:16:43+0000,1144,1.661129593849182,0.4768717586994171,1721.0,0.66414874792099,132.0
6,2022-04-04 11:02:42+0000,1069,7.751938343048096,0.1916443109512329,1618.0,0.6600741744041443,151.0
1,2022-04-04 10:57:56+0000,271,0.7117437720298767,0.224820151925087,1000.0,0.2700000107288361,48.0
6,2022-04-04 10:34:57+0000,1338,2.747252702713013,0.1260398328304291,1789.0,0.7473449110984802,139.0
1,2022-03-30 11:52:16+0000,285,0.475285142660141,0.1658374667167664,1001.0,0.2837162911891937,49.0
6,2022-03-30 11:21:35+0000,1215,2.645502805709839,0.2592688500881195,1886.0,0.6436903476715088,126.0
1,2022-03-29 12:02:25+0000,303,0.6835269927978516,0.230096623301506,1003.0,0.3010967075824738,57.0
6,2022-03-29 11:40:32+0000,1100,1.410437226295471,0.3635042011737823,1863.0,0.5904455184936523,123.0
1,2022-03-28 11:45:13+0000,311,0.638977587223053,0.2149151116609573,1046.0,0.2963671088218689,57.0
6,2022-03-28 11:19:23+0000,1221,3.745318412780762,0.3980891704559326,1816.0,0.6718061566352844,122.0
6,2022-03-27 03:36:28+0000,1374,3.311258316040039,0.536480724811554,947.0,1.447729706764221,58.0
6,2022-03-18 11:31:57+0000,764,2.941176414489746,0.5790387988090515,1000.0,0.7630000114440918,34.0
1,2022-03-18 11:26:11+0000,282,0.8748906254768372,0.2371916472911835,1005.0,0.2796019911766052,47.0
6,2022-03-18 11:03:39+0000,1050,4.672897338867188,0.4258943796157837,1774.0,0.5913190245628357,70.0
1,2022-03-05 00:10:22+0000,282,0.6153846383094788,0.2082899361848831,1006.0,0.2793240547180176,55.0
6,2022-03-04 23:46:02+0000,1082,4.065040588378906,0.384172111749649,1818.0,0.5946094393730164,127.0
6,2022-02-16 11:18:13+0000,1294,2.19298243522644,0.4757373929023743,1863.0,0.6940418481826782,169.0
1,2022-02-16 11:12:40+0000,284,2.164502143859863,0.1834189295768738,1001.0,0.2827172875404358,60.0
6,2022-02-16 10:55:10+0000,865,1.481481432914734,0.2043735831975937,1721.0,0.5020337104797363,119.0
1,2022-02-14 11:50:09+0000,287,0.7446016073226929,0.2586652934551239,1002.0,0.2854291498661041,43.0
6,2022-02-14 11:29:59+0000,933,3.984063863754272,0.4690431654453278,1484.0,0.6280323266983032,57.0
6,2022-02-14 11:27:50+0000,51,2.873563289642334,0.5851374864578247,72.0,0.6944444179534912,2.0
6,2022-02-13 11:15:19+0000,957,2.538071155548096,0.1767721325159073,1650.0,0.5793939232826233,113.0
1,2022-02-13 11:09:12+0000,256,0.5760368704795837,0.1939864158630371,1000.0,0.2549999952316284,37.0
6,2022-02-13 10:46:00+0000,1087,3.952569246292114,0.3306878507137299,1668.0,0.6510791182518005,136.0
1,2022-02-12 11:25:02+0000,259,0.5571030974388123,0.1928268522024155,1011.0,0.2551928758621216,44.0
6,2022-02-12 11:00:38+0000,1131,9.523809432983398,0.4428698122501373,1742.0,0.6481056213378906,137.0
6,2022-02-11 11:55:30+0000,931,3.184713363647461,0.5649717450141907,1029.0,0.9018464684486389,91.0
1,2022-02-11 11:49:54+0000,264,0.7880220413208008,0.1980197876691818,1004.0,0.2599601447582245,39.0
6,2022-02-11 11:16:54+0000,1532,6.410256385803223,0.5858230590820312,1716.0,0.8916084170341492,140.0
6,2022-02-06 11:44:52+0000,1373,1.420454502105713,0.4482294917106628,1888.0,0.7266949415206909,107.0
1,2022-02-06 11:36:48+0000,272,0.6361322999000549,0.2324500232934952,1013.0,0.2675222158432007,34.0
6,2022-02-06 11:11:41+0000,1173,4.385964870452881,0.1683501601219177,1867.0,0.6277450323104858,126.0
6,2022-02-05 11:51:50+0000,958,3.355704545974731,0.4228329658508301,1301.0,0.735588014125824,101.0
1,2022-02-05 11:46:47+0000,283,0.6910849809646606,0.2290425896644592,1006.0,0.2803180813789368,50.0
6,2022-02-05 11:09:32+0000,1686,4.464285373687744,0.4264392256736755,2003.0,0.8412381410598755,173.0
6,2022-02-04 11:07:36+0000,515,4.291845798492432,0.5780346989631653,642.0,0.8006230592727661,58.0
6,2022-02-03 10:50:22+0000,1222,5.917159557342529,0.5524861812591553,1200.0,1.017500042915344,124.0
1,2022-02-03 10:41:12+0000,265,0.6090134382247925,0.1992825716733932,1001.0,0.2637362778186798,39.0
6,2022-02-03 10:07:31+0000,1475,9.090909004211426,0.3043213486671448,1798.0,0.8197997808456421,138.0
1,2022-01-13 09:23:16+0000,290,2.341920375823975,0.198216050863266,1004.0,0.2878485918045044,60.0
1,2022-01-11 10:42:27+0000,590,0.6402048468589783,0.2067397236824036,2001.0,0.2943528294563293,98.0
6,2022-01-11 10:40:55+0000,49,2.54452919960022,0.7358351945877075,57.0,0.7894737124443054,0.0
6,2022-01-11 10:39:06+0000,66,8.547008514404297,0.6207324862480164,53.0,1.226415038108826,3.0
1,2022-01-10 13:39:17+0000,453,7.246376991271973,0.2500625252723694,1191.0,0.3786733746528625,71.0
